id,region,original_name,before,level,matched_on,suggested_name,confidence,rationale,final_name,decision
212,united_states,LAS CIENEGAS S.,LAS CIENEGAS S.,history,Las Cienegas S,拉斯谢内加斯锦标,high,历史赛事已上线译名（Las Cienegas S）；复核通过。,拉斯谢内加斯锦标,通过
213,united_states,LAS FLORES S.,LAS FLORES S.,history,Las Flores S,拉斯弗洛雷斯锦标,high,历史赛事已上线译名（Las Flores S）；复核通过。,拉斯弗洛雷斯锦标,通过
214,united_states,LOUISIANA S. PRESENTED BY HAGYARD,LOUISIANA S. PRESENTED BY HAGYARD,history,Louisiana S,路易斯安那锦标,high,历史赛事已上线译名（Louisiana S）；复核通过。,路易斯安那锦标,通过
215,united_states,LECOMTE S.,LECOMTE S.,history,LeComte S; Lecomte S,勒孔特锦标,high,历史赛事已上线译名（LeComte S; Lecomte S）；复核通过。,勒孔特锦标,通过
216,united_states,LA CANADA S.,LA CANADA S.,history,La Canada S,拉加拿大锦标,high,历史赛事已上线译名（La Canada S）；复核通过。,拉加拿大锦标,通过
217,united_states,CHRISTOPHE CLEMENT S. PRESENTED BY DON JULIO TEQUILA,CHRISTOPHE CLEMENT S. PRESENTED BY DON JULIO TEQUILA,needs_translation,,克里斯托夫·克莱芒锦标,medium,人名 Christophe Clement（法裔练马师）音译，S.→锦标，冠名 Don Julio 已正确剥离；复核通过。,克里斯托夫·克莱芒锦标,通过
218,united_states,PEGASUS WORLD CUP FILLY AND MARE TURF INVITATIONAL S. PRESENTED BY THOROUGHBRED AFTERCARE ALLIANCE,PEGASUS WORLD CUP FILLY AND MARE TURF INVITATIONAL S. PRESENTED BY THOROUGHBRED AFTERCARE ALLIANCE,needs_translation,,飞马世界杯雌马草地锦标,medium,沿用飞马世界杯既有译名，Filly and Mare Turf 按例译出，Invitational 依飞马世界杯例省去；复核通过。,飞马世界杯雌马草地锦标,通过
219,united_states,HOUSTON LADIES CLASSIC S.,HOUSTON LADIES CLASSIC S.,needs_translation,,休斯顿女士经典锦标,medium,Houston 音译休斯顿，Ladies Classic 意译女士经典，S.→锦标；复核后修正；Houston采用中国大陆通行地名“休斯敦”。,休斯敦女士经典锦标,已修正
220,united_states,INSIDE INFORMATION S. PRESENTED BY MYRACEHORSE,INSIDE INFORMATION S. PRESENTED BY MYRACEHORSE,history,Inside Information S. Presented by MyRacehorse,内幕消息锦标,high,历史赛事已上线译名（Inside Information S. Presented by MyRacehorse）；复核通过。,内幕消息锦标,通过
221,united_states,PEGASUS WORLD CUP INVITATIONAL S.,PEGASUS WORLD CUP INVITATIONAL S.,history,Pegasus World Cup Invitational S,飞马世界杯,high,历史赛事已上线译名（Pegasus World Cup Invitational S）；复核通过。,飞马世界杯,通过
222,united_states,FRED W. HOOPER S. PRESENTED BY VISIT LAUDERDALE,FRED W. HOOPER S. PRESENTED BY VISIT LAUDERDALE,history,Fred W. Hooper S,弗雷德·W·胡珀锦标,high,历史赛事已上线译名（Fred W. Hooper S）；复核通过。,弗雷德·W·胡珀锦标,通过
223,united_states,WILLIAM L. MCKNIGHT S. PRESENTED BY WOODFORD RESERVE BOURBON,WILLIAM L. MCKNIGHT S. PRESENTED BY WOODFORD RESERVE BOURBON,history,William. L. McKnight S,威廉·L·麦克奈特锦标,high,历史赛事已上线译名（William. L. McKnight S）；复核通过。,威廉·L·麦克奈特锦标,通过
224,united_states,PEGASUS WORLD CUP TURF INVITATIONAL S.,PEGASUS WORLD CUP TURF INVITATIONAL S.,history,Pegasus World Cup Turf Invitational S,飞马世界杯草地锦标,high,历史赛事已上线译名（Pegasus World Cup Turf Invitational S）；复核通过。,飞马世界杯草地锦标,通过
225,united_states,MEGAHERTZ S.,MEGAHERTZ S.,history,Megahertz S,兆赫锦标,high,历史赛事已上线译名（Megahertz S）；复核通过。,兆赫锦标,通过
226,united_states,ENDEAVOUR S.,ENDEAVOUR S.,history,Endeavour S,奋进锦标,high,历史赛事已上线译名（Endeavour S）；复核通过。,奋进锦标,通过
227,united_states,SAN PASQUAL S.,SAN PASQUAL S.,history,San Pasqual S,圣帕斯夸尔锦标,high,历史赛事已上线译名（San Pasqual S）；复核通过。,圣帕斯夸尔锦标,通过
228,united_states,TAMPA BAY S.,TAMPA BAY S.,history,Tampa Bay S,坦帕湾锦标,high,历史赛事已上线译名（Tampa Bay S）；复核通过。,坦帕湾锦标,通过
229,united_states,FORWARD GAL S.,FORWARD GAL S.,history,Forward Gal S,前进少女锦标,high,历史赛事已上线译名（Forward Gal S）；复核通过。,前进少女锦标,通过
230,united_states,HOLY BULL S.,HOLY BULL S.,history,Holy Bull S,圣牛锦标,high,历史赛事已上线译名（Holy Bull S）；复核通过。,圣牛锦标,通过
231,united_states,SOUTHWEST S.,SOUTHWEST S.,history,Southwest S,西南锦标,high,历史赛事已上线译名（Southwest S）；复核通过。,西南锦标,通过
232,united_states,BAYAKOA S.,BAYAKOA S.,manual,Bayakoa S,,low,需人工定夺：ambiguous history translations；复核后修正；Bayakoa采用社区稳定马名译法“巴亚科亚”；同名的两条美国赛事系列可依赛场和RaceSeries区分。,巴亚科亚锦标,人工裁决
233,united_states,D. WAYNE LUKAS S. (formerly SANTA MONICA S.),D. WAYNE LUKAS S. (formerly SANTA MONICA S.),needs_translation,,D·韦恩·卢卡斯锦标,medium,人名 D. Wayne Lukas 音译并保留首字母缩写；括号内原名 Santa Monica S.（圣莫尼卡锦标）不进中文名；历史旧名复核修正：当前赛事名为D. Wayne Lukas Stakes；Santa Monica Stakes仅为括号内旧名。,D·韦恩·卢卡斯锦标,已修正
234,united_states,THUNDER ROAD S.,THUNDER ROAD S.,history,Thunder Road S,雷霆大道锦标,high,历史赛事已上线译名（Thunder Road S）；复核通过。,雷霆大道锦标,通过
235,united_states,ROBERT B. LEWIS S.,ROBERT B. LEWIS S.,history,Robert B. Lewis S,罗伯特·B·刘易斯锦标,high,历史赛事已上线译名（Robert B. Lewis S）；复核通过。,罗伯特·B·刘易斯锦标,通过
236,united_states,ROYAL DELTA S.,ROYAL DELTA S.,history,Royal Delta S,御皇三角锦标,high,历史赛事已上线译名（Royal Delta S）；复核通过。,御皇三角锦标,通过
237,united_states,MINESHAFT S. PRESENTED BY HAGYARD,MINESHAFT S. PRESENTED BY HAGYARD,history,Mineshaft S,矿井锦标,high,历史赛事已上线译名（Mineshaft S）；复核通过。,矿井锦标,通过
238,united_states,SAN MARCOS S.,SAN MARCOS S.,history,San Marcos S,圣马科斯锦标,high,历史赛事已上线译名（San Marcos S）；复核通过。,圣马科斯锦标,通过
239,united_states,FAIR GROUNDS S. PRESENTED BY HORSE RACING NATION,FAIR GROUNDS S. PRESENTED BY HORSE RACING NATION,history,Fair Grounds S. Presented by Horse Racing Nation,费尔园锦标,high,历史赛事已上线译名（Fair Grounds S. Presented by Horse Racing Nation）；复核通过。,费尔园锦标,通过
240,united_states,FASIG-TIPTON RACHEL ALEXANDRA S.,FASIG-TIPTON RACHEL ALEXANDRA S.,needs_translation,,蕾切尔·亚历山德拉锦标,low,base 剥离有误：Fasig-Tipton 为冠名应剔除；Rachel Alexandra 为名驹音译；低置信度复核：冠名/补充说明剥离及主体译名已修正；按WPStud既有译名统一。,历山小姐锦标,已修正
241,united_states,FASIG-TIPTON RISEN STAR S.,FASIG-TIPTON RISEN STAR S.,needs_translation,,新星锦标,low,base 剥离有误：Fasig-Tipton 为冠名应剔除；Risen Star 意译新星；低置信度复核：冠名/补充说明剥离及主体译名已修正；按WPStud既有译名统一。,高星锦标,已修正
242,united_states,THE VERY ONE S. PRESENTED BY DRF EN ESPANOL,THE VERY ONE S. PRESENTED BY DRF EN ESPANOL,history,The Very One S,独一无二锦标,high,历史赛事已上线译名（The Very One S）；复核通过。,独一无二锦标,通过
243,united_states,HONEY FOX S. PRESENTED BY MY RACEHORSE,HONEY FOX S. PRESENTED BY MY RACEHORSE,history,Honey Fox S,蜂蜜狐狸锦标,high,历史赛事已上线译名（Honey Fox S）；复核通过。,蜂蜜狐狸锦标,通过
244,united_states,BUENA VISTA S.,BUENA VISTA S.,history,Buena Vista S,布埃纳维斯塔锦标,high,历史赛事已上线译名（Buena Vista S）；复核通过。,布埃纳维斯塔锦标,通过
245,united_states,GULFSTREAM PARK MILE S. PRESENTED BY FIERCENESS,GULFSTREAM PARK MILE S. PRESENTED BY FIERCENESS,history,Gulfstream Park Mile S,湾流园一哩锦标,high,历史赛事已上线译名（Gulfstream Park Mile S）；复核通过。,湾流园一哩锦标,通过
246,united_states,RAZORBACK H.,RAZORBACK H.,history,Razorback H,剃刀背锦标,high,历史赛事已上线译名（Razorback H）；复核通过。,剃刀背锦标,通过
247,united_states,MAC DIARMIDA S. PRESENTED BY FANDUEL TV,MAC DIARMIDA S. PRESENTED BY FANDUEL TV,history,Mac Diarmida S,麦克迪阿米达锦标,high,历史赛事已上线译名（Mac Diarmida S）；复核通过。,麦克迪阿米达锦标,通过
248,united_states,CANADIAN TURF S.,CANADIAN TURF S.,history,Canadian Turf S,加拿大草地锦标,high,历史赛事已上线译名（Canadian Turf S）；复核通过。,加拿大草地锦标,通过
249,united_states,TOM FOOL S.,TOM FOOL S.,history,Tom Fool S,汤姆·福尔锦标,high,历史赛事已上线译名（Tom Fool S）；复核通过。,汤姆·福尔锦标,通过
250,united_states,DAVONA DALE S. PRESENTED BY INGLIS DIGITAL USA,DAVONA DALE S. PRESENTED BY INGLIS DIGITAL USA,history,Davona Dale S,Davona Dale锦标,high,历史赛事已上线译名（Davona Dale S）；复核后修正；Davona Dale采用赛马社区中可确认的马名音译。,达沃娜戴尔锦标,已修正
251,united_states,HERECOMESTHEBRIDE S.,HERECOMESTHEBRIDE S.,history,Herecomesthebride S,新娘来了锦标,high,历史赛事已上线译名（Herecomesthebride S）；复核通过。,新娘来了锦标,通过
252,united_states,GOTHAM S.,GOTHAM S.,history,Gotham S,葛咸锦标,high,历史赛事已上线译名（Gotham S）；复核通过。,葛咸锦标,通过
253,united_states,COOLMORE FOUNTAIN OF YOUTH S.,COOLMORE FOUNTAIN OF YOUTH S.,needs_translation,,青春之泉锦标,low,base 剥离有误：Coolmore 为冠名应剔除；Fountain of Youth 从通行译法青春之泉；低置信度复核：冠名/补充说明剥离及主体译名已修正；按WPStud既有译名统一。,青春无限锦标,已修正
254,united_states,HONEYBEE S.,HONEYBEE S.,history,Honeybee S,蜜蜂锦标,high,历史赛事已上线译名（Honeybee S）；复核通过。,蜜蜂锦标,通过
255,united_states,REBEL S.,REBEL S.,history,Rebel S,反叛锦标,high,历史赛事已上线译名（Rebel S）；复核通过。,反叛锦标,通过
256,united_states,B. WAYNE HUGHES BEHOLDER MILE S.,B. WAYNE HUGHES BEHOLDER MILE S.,history,B. Wayne Hughes Beholder Mile S,B·韦恩·休斯观览一哩锦标,high,历史赛事已上线译名（B. Wayne Hughes Beholder Mile S）；复核通过。,B·韦恩·休斯观览一哩锦标,通过
257,united_states,HILLSBOROUGH S.,HILLSBOROUGH S.,history,Hillsborough S,希尔斯伯勒锦标,high,历史赛事已上线译名（Hillsborough S）；复核通过。,希尔斯伯勒锦标,通过
258,united_states,AZERI S.,AZERI S.,history,Azeri S,阿塞莉锦标,high,历史赛事已上线译名（Azeri S）；复核通过。,阿塞莉锦标,通过
259,united_states,HURRICANE BERTIE S.,HURRICANE BERTIE S.,history,Hurricane Bertie S,飓风伯蒂锦标,high,历史赛事已上线译名（Hurricane Bertie S）；复核通过。,飓风伯蒂锦标,通过
260,united_states,SANTA ANITA H. PRESENTED BY YAAMAVA' RESORT & CASINO AT SAN MIGUEL,SANTA ANITA H. PRESENTED BY YAAMAVA' RESORT & CASINO AT SAN MIGUEL,history,Santa Anita H,圣雅尼塔锦标,high,历史赛事已上线译名（Santa Anita H）；复核通过。,圣雅尼塔锦标,通过
261,united_states,MICHELOB ULTRA CHALLENGER S.,MICHELOB ULTRA CHALLENGER S.,needs_translation,,挑战者锦标,low,base 剥离有误：Michelob Ultra 为冠名应剔除；Challenger 意译挑战者；低置信度复核通过：冠名/补充说明已正确剥离。,挑战者锦标,通过
262,united_states,FRANK E. KILROE MILE S.,FRANK E. KILROE MILE S.,history,Frank E. Kilroe Mile S,弗兰克·E·基尔罗一哩锦标,high,历史赛事已上线译名（Frank E. Kilroe Mile S）；复核通过。,弗兰克·E·基尔罗一哩锦标,通过
263,united_states,FLORIDA OAKS,FLORIDA OAKS,history,Florida Oaks,佛罗里达橡树大赛,high,历史赛事已上线译名（Florida Oaks）；复核通过。,佛罗里达橡树大赛,通过
264,united_states,SAN FELIPE S. PRESENTED BY DK HORSE,SAN FELIPE S. PRESENTED BY DK HORSE,history,San Felipe S,圣费利佩锦标,high,历史赛事已上线译名（San Felipe S）；复核通过。,圣费利佩锦标,通过
265,united_states,ESMARK TAMPA BAY DERBY,ESMARK TAMPA BAY DERBY,needs_translation,,坦帕湾德比,low,base 剥离有误：Esmark 为冠名应剔除；Tampa Bay Derby 按地名+德比译出；低置信度复核：冠名/补充说明剥离及主体译名已修正；按WPStud既有译名统一。,坦帕湾打吡,已修正
266,united_states,SANTA YSABEL S.,SANTA YSABEL S.,history,Santa Ysabel S,圣伊莎贝尔锦标,high,历史赛事已上线译名（Santa Ysabel S）；复核通过。,圣伊莎贝尔锦标,通过
267,united_states,WHITMORE S.,WHITMORE S.,history,Whitmore S,惠特莫尔锦标,high,历史赛事已上线译名（Whitmore S）；复核通过。,惠特莫尔锦标,通过
268,united_states,SAN SIMEON S.,SAN SIMEON S.,history,San Simeon S,圣西蒙锦标,high,历史赛事已上线译名（San Simeon S）；复核后修正；San Simeon按加州地名译作“圣西米恩”，与英国St Simon赛事区分。,圣西米恩锦标,重名已处理
269,united_states,SANTA ANA S.,SANTA ANA S.,history,Santa Ana S,圣安娜锦标,high,历史赛事已上线译名（Santa Ana S）；复核通过。,圣安娜锦标,通过
270,united_states,NEW ORLEANS CLASSIC S. PRESENTED BY HAGYARD,NEW ORLEANS CLASSIC S. PRESENTED BY HAGYARD,history,New Orleans Classic S,新奥尔良经典锦标,high,历史赛事已上线译名（New Orleans Classic S）；复核通过。,新奥尔良经典锦标,通过
271,united_states,ESSEX H.,ESSEX H.,history,Essex H,埃塞克斯锦标,high,历史赛事已上线译名（Essex H）；复核通过。,埃塞克斯锦标,通过
272,united_states,SAN LUIS REY S.,SAN LUIS REY S.,history,San Luis Rey S,圣路易斯雷伊锦标,high,历史赛事已上线译名（San Luis Rey S）；复核通过。,圣路易斯雷伊锦标,通过
273,united_states,MUNIZ MEMORIAL CLASSIC S. PRESENTED BY HORSE RACING NATION,MUNIZ MEMORIAL CLASSIC S. PRESENTED BY HORSE RACING NATION,history,Muniz Memorial Classic S,穆尼斯纪念经典锦标,high,历史赛事已上线译名（Muniz Memorial Classic S）；复核通过。,穆尼斯纪念经典锦标,通过
274,united_states,TWINSPIRES KENTUCKY CUP CLASSIC S.,TWINSPIRES KENTUCKY CUP CLASSIC S.,needs_translation,,肯塔基杯经典锦标,low,base 剥离有误：TwinSpires 为冠名应剔除；Cup→杯，Classic→经典；低置信度复核通过：冠名/补充说明已正确剥离。,肯塔基杯经典锦标,通过
275,united_states,FASIG-TIPTON FAIR GROUNDS OAKS,FASIG-TIPTON FAIR GROUNDS OAKS,needs_translation,,费尔园橡树,low,base 剥离有误：Fasig-Tipton 为冠名应剔除；Fair Grounds 为赛场名试译费尔园，Oaks 从橡树译法；低置信度复核：冠名/补充说明剥离及主体译名已修正；Oaks统一采用“橡树大赛”。,费尔园橡树大赛,已修正
276,united_states,TWINSPIRES.COM LOUISIANA DERBY,TWINSPIRES.COM LOUISIANA DERBY,needs_translation,,路易斯安那德比,low,base 剥离有误：TwinSpires.com 为冠名应剔除；沿用路易斯安那译名，Derby→德比；低置信度复核：冠名/补充说明剥离及主体译名已修正；按WPStud既有译名统一。,路易斯安那打吡,已修正
278,united_states,FANTASY S.,FANTASY S.,history,Fantasy S,梦幻锦标,high,历史赛事已上线译名（Fantasy S）；复核通过。,梦幻锦标,通过
279,united_states,ORCHID S.,ORCHID S.,history,Orchid S,兰花锦标,high,历史赛事已上线译名（Orchid S）；复核通过。,兰花锦标,通过
280,united_states,WILSHIRE S.,WILSHIRE S.,history,Wilshire S,威尔希尔锦标,high,历史赛事已上线译名（Wilshire S）；复核通过。,威尔希尔锦标,通过
281,united_states,GHOSTZAPPER S. PRESENTED BY FANDUEL TV,GHOSTZAPPER S. PRESENTED BY FANDUEL TV,history,Ghostzapper S,驱魔客锦标,high,历史赛事已上线译名（Ghostzapper S）；复核通过。,驱魔客锦标,通过
282,united_states,OAKLAWN MILE S.,OAKLAWN MILE S.,history,Oaklawn Mile S,奥克朗一哩锦标,high,历史赛事已上线译名（Oaklawn Mile S）；复核通过。,奥克朗一哩锦标,通过
283,united_states,PAN AMERICAN S. PRESENTED BY ROOD & RIDDLE,PAN AMERICAN S. PRESENTED BY ROOD & RIDDLE,history,Pan American S,泛美锦标,high,历史赛事已上线译名（Pan American S）；复核通过。,泛美锦标,通过
284,united_states,GULFSTREAM PARK OAKS PRESENTED BY CITY NATIONAL BANK,GULFSTREAM PARK OAKS PRESENTED BY CITY NATIONAL BANK,history,Gulfstream Park Oaks,湾流园橡树大赛,high,历史赛事已上线译名（Gulfstream Park Oaks）；复核通过。,湾流园橡树大赛,通过
285,united_states,CURLIN FLORIDA DERBY PRESENTED BY HILL 'N' DALE FARMS AT XALAPA,CURLIN FLORIDA DERBY PRESENTED BY HILL 'N' DALE FARMS AT XALAPA,needs_translation,,柯林佛罗里达德比,medium,剥离正确（Hill 'n' Dale 已剔除）；Curlin 为名驹名留于正式赛名，音译柯林；Florida Derby→佛罗里达德比；复核后修正；按HKJC既有译名统一。,佛罗里达打吡大赛,已修正
286,united_states,ARKANSAS DERBY,ARKANSAS DERBY,term,Arkansas Derby,阿肯色州打吡,high,术语库已有译名（Arkansas Derby）；复核后修正；按HKJC既有译名统一。,阿肯色打吡,已修正
287,united_states,SAN CARLOS S.,SAN CARLOS S.,history,San Carlos S,圣卡洛斯锦标,high,历史赛事已上线译名（San Carlos S）；复核通过。,圣卡洛斯锦标,通过
288,united_states,CENTRAL BANK ASHLAND S.,CENTRAL BANK ASHLAND S.,needs_translation,,阿什兰锦标,low,base 剥离有误：Central Bank 为冠名应剔除；Ashland 音译阿什兰；低置信度复核通过：冠名/补充说明已正确剥离。,阿什兰锦标,通过
289,united_states,MIDDLEGROUND CAPITAL BEAUMONT S.,MIDDLEGROUND CAPITAL BEAUMONT S.,needs_translation,,博蒙特锦标,low,base 剥离有误：Middleground Capital 为冠名应剔除；Beaumont 音译博蒙特；低置信度复核通过：冠名/补充说明已正确剥离。,博蒙特锦标,通过
290,united_states,UK HEALTHCARE TRANSYLVANIA S.,UK HEALTHCARE TRANSYLVANIA S.,needs_translation,,特兰西瓦尼亚锦标,low,base 剥离有误：UK HealthCare 为冠名应剔除；Transylvania 通行译名特兰西瓦尼亚；低置信度复核通过：冠名/补充说明已正确剥离。,特兰西瓦尼亚锦标,通过
291,united_states,DISTAFF S.,DISTAFF S.,history,Distaff S,雌马锦标,high,历史赛事已上线译名（Distaff S）；复核通过。,雌马锦标,通过
292,united_states,MONROVIA S. PRESENTED BY DON JULIO,MONROVIA S. PRESENTED BY DON JULIO,history,Monrovia S,蒙罗维亚锦标,high,历史赛事已上线译名（Monrovia S）；复核通过。,蒙罗维亚锦标,通过
293,united_states,CARTER S. PRESENTED BY NYRA BETS,CARTER S. PRESENTED BY NYRA BETS,history,Carter S,卡特锦标,high,历史赛事已上线译名（Carter S）；复核通过。,卡特锦标,通过
294,united_states,GAZELLE S.,GAZELLE S.,history,Gazelle S,瞪羚锦标,high,历史赛事已上线译名（Gazelle S）；复核通过。,瞪羚锦标,通过
295,united_states,SANTA ANITA OAKS PRESENTED BY SURFSIDE,SANTA ANITA OAKS PRESENTED BY SURFSIDE,term,Santa Anita Oaks,圣雅尼塔橡树大赛,high,术语库已有译名（Santa Anita Oaks）；复核通过。,圣雅尼塔橡树大赛,通过
296,united_states,WOOD MEMORIAL S. PRESENTED BY RESORTS WORLD CASINO,WOOD MEMORIAL S. PRESENTED BY RESORTS WORLD CASINO,history,Wood Memorial S,活特纪念锦标,high,历史赛事已上线译名（Wood Memorial S）；复核通过。,活特纪念锦标,通过
297,united_states,SANTA ANITA DERBY,SANTA ANITA DERBY,term,Santa Anita Derby,圣雅尼塔打吡,high,术语库已有译名（Santa Anita Derby）；复核通过。,圣雅尼塔打吡,通过
298,united_states,RESOLUTE RACING MADISON S.,RESOLUTE RACING MADISON S.,needs_translation,,麦迪逊锦标,low,base 剥离有误：Resolute Racing 为冠名应剔除；Madison 音译麦迪逊；低置信度复核通过：冠名/补充说明已正确剥离。,麦迪逊锦标,通过
299,united_states,COMMONWEALTH S.,COMMONWEALTH S.,history,Commonwealth S,英联邦锦标,high,历史赛事已上线译名（Commonwealth S）；复核通过。,英联邦锦标,通过
300,united_states,VALVOLINE GLOBAL SHAKERTOWN S.,VALVOLINE GLOBAL SHAKERTOWN S.,needs_translation,,谢克敦锦标,low,base 剥离有误：Valvoline Global 为冠名应剔除；Shakertown 音译谢克敦；低置信度复核：冠名/补充说明剥离及主体译名已修正；按WPStud既有译名统一。,沙克镇锦标,已修正
301,united_states,APPALACHIAN S. PRESENTED BY JAPAN RACING ASSOCIATION,APPALACHIAN S. PRESENTED BY JAPAN RACING ASSOCIATION,history,Appalachian S,阿巴拉契亚锦标,high,历史赛事已上线译名（Appalachian S）；复核通过。,阿巴拉契亚锦标,通过
302,united_states,TOYOTA BLUE GRASS S.,TOYOTA BLUE GRASS S.,needs_translation,,蓝草锦标,low,base 剥离有误：Toyota 为冠名应剔除；Blue Grass 从通行译法蓝草；低置信度复核通过：冠名/补充说明已正确剥离。,蓝草锦标,通过
303,united_states,MAKER'S MARK MILE S.,MAKER'S MARK MILE S.,history,Maker's Mark Mile S,一哩锦标,high,历史赛事已上线译名（Maker's Mark Mile S）；复核通过。,一哩锦标,通过
304,united_states,FANDUEL LIMESTONE S.,FANDUEL LIMESTONE S.,needs_translation,,莱姆斯通锦标,low,base 剥离有误：FanDuel 为冠名应剔除；Limestone 音译莱姆斯通；低置信度复核：冠名/补充说明剥离及主体译名已修正；Limestone采用语义译名“石灰岩”。,石灰岩锦标,已修正
305,united_states,APPLE BLOSSOM H.,APPLE BLOSSOM H.,history,Apple Blossom H,苹果花锦标,high,历史赛事已上线译名（Apple Blossom H）；复核通过。,苹果花锦标,通过
306,united_states,COUNT FLEET SPRINT H.,COUNT FLEET SPRINT H.,history,Count Fleet Sprint H,舰队伯爵短途锦标,high,历史赛事已上线译名（Count Fleet Sprint H）；复核通过。,舰队伯爵短途锦标,通过
307,united_states,JENNY WILEY S.,JENNY WILEY S.,history,Jenny Wiley S,珍妮·威利锦标,high,历史赛事已上线译名（Jenny Wiley S）；复核通过。,珍妮·威利锦标,通过
308,united_states,STONESTREET LEXINGTON S.,STONESTREET LEXINGTON S.,needs_translation,,列克星敦锦标,low,base 剥离有误：Stonestreet 为冠名应剔除；Lexington 通行译名列克星敦；低置信度复核通过：冠名/补充说明已正确剥离。,列克星敦锦标,通过
309,united_states,GIANT'S CAUSEWAY S. PRESENTED BY KEENELAND SELECT,GIANT'S CAUSEWAY S. PRESENTED BY KEENELAND SELECT,history,Giant's Causeway S,巨人长堤锦标,high,历史赛事已上线译名（Giant's Causeway S）；复核通过。,巨人长堤锦标,通过
310,united_states,BAIRD DOUBLEDOGDARE S.,BAIRD DOUBLEDOGDARE S.,needs_translation,,双重挑战锦标,low,base 剥离有误：Baird 为冠名应剔除；Doubledogdare 为口语(double dog dare)试意译双重挑战，无把握；低置信度复核通过：冠名/补充说明已正确剥离。,双重挑战锦标,通过
311,united_states,OAKLAWN H.,OAKLAWN H.,history,Oaklawn H,奥克朗锦标,high,历史赛事已上线译名（Oaklawn H）；复核通过。,奥克朗锦标,通过
312,united_states,AMERICAN S.,AMERICAN S.,history,American S,美国锦标,high,历史赛事已上线译名（American S）；复核通过。,美国锦标,通过
313,united_states,BEN ALI S.,BEN ALI S.,history,Ben Ali S,本·阿里锦标,high,历史赛事已上线译名（Ben Ali S）；复核通过。,本·阿里锦标,通过
314,united_states,VISITLEX ELKHORN S.,VISITLEX ELKHORN S.,needs_translation,,埃尔克霍恩锦标,low,base 剥离有误：VisitLex 为冠名应剔除；Elkhorn 音译埃尔克霍恩；低置信度复核：冠名/补充说明剥离及主体译名已修正；按WPStud既有译名统一。,鹿角锦标,已修正
315,united_states,SANTA MARIA S.,SANTA MARIA S.,history,Santa Maria S,圣玛丽亚锦标,high,历史赛事已上线译名（Santa Maria S）；复核通过。,圣玛丽亚锦标,通过
316,united_states,BEWITCH S. PRESENTED BY KEENELAND SALES,BEWITCH S. PRESENTED BY KEENELAND SALES,history,Bewitch S,毕域治锦标,high,历史赛事已上线译名（Bewitch S）；复核通过。,毕域治锦标,通过
317,united_states,ROYAL HEROINE S.,ROYAL HEROINE S.,history,Royal Heroine S,皇家女英雄锦标,high,历史赛事已上线译名（Royal Heroine S）；复核通过。,皇家女英雄锦标,通过
318,united_states,MAMZELLE S. PRESENTED BY KENTUCKY PROUD,MAMZELLE S. PRESENTED BY KENTUCKY PROUD,history,Mamzelle S,曼泽尔锦标,high,历史赛事已上线译名（Mamzelle S）；复核通过。,曼泽尔锦标,通过
